Speed,ROG,CO,NOx,PM25
5,0.42,4.84,0.53,0.015
6,0.39,4.67,0.51,0.014
7,0.36,4.51,0.5,0.013
8,0.34,4.34,0.48,0.012
9,0.31,4.17,0.47,0.011
10,0.28,4,0.45,0.01
11,0.26,3.89,0.44,0.01
12,0.24,3.77,0.43,0.009
13,0.23,3.65,0.42,0.009
14,0.21,3.53,0.41,0.008
15,0.19,3.42,0.4,0.007
16,0.18,3.33,0.39,0.007
17,0.17,3.25,0.39,0.007
18,0.16,3.16,0.38,0.006
19,0.15,3.08,0.37,0.006
20,0.14,2.99,0.36,0.006
21,0.14,2.93,0.36,0.006
22,0.13,2.87,0.35,0.005
23,0.13,2.8,0.35,0.005
24,0.12,2.74,0.34,0.005
25,0.11,2.68,0.34,0.004
26,0.11,2.63,0.34,0.004
27,0.1,2.58,0.33,0.004
28,0.1,2.53,0.33,0.004
29,0.1,2.49,0.33,0.004
30,0.09,2.44,0.32,0.004
31,0.09,2.4,0.32,0.004
32,0.09,2.37,0.32,0.003
33,0.09,2.33,0.32,0.003
34,0.08,2.3,0.32,0.003
35,0.08,2.26,0.32,0.003
36,0.08,2.24,0.32,0.003
37,0.08,2.21,0.32,0.003
38,0.08,2.18,0.32,0.003
39,0.08,2.16,0.32,0.003
40,0.07,2.13,0.32,0.003
41,0.07,2.12,0.32,0.003
42,0.07,2.1,0.32,0.003
43,0.07,2.09,0.32,0.003
44,0.07,2.07,0.32,0.003
45,0.07,2.05,0.32,0.003
46,0.07,2.05,0.33,0.003
47,0.07,2.04,0.33,0.003
48,0.07,2.04,0.33,0.003
49,0.07,2.03,0.34,0.003
50,0.07,2.02,0.34,0.003
51,0.07,2.03,0.35,0.003
52,0.07,2.04,0.35,0.003
53,0.07,2.04,0.36,0.003
54,0.08,2.05,0.36,0.003
55,0.08,2.06,0.37,0.003
56,0.08,2.08,0.37,0.003
57,0.08,2.1,0.38,0.003
58,0.08,2.13,0.39,0.003
59,0.08,2.15,0.4,0.003
60,0.09,2.17,0.41,0.003
61,0.09,2.22,0.42,0.003
62,0.09,2.27,0.43,0.003
63,0.09,2.31,0.44,0.003
64,0.1,2.36,0.45,0.003
65,0.1,2.41,0.46,0.003
66,0.1,2.41,0.46,0.003
67,0.1,2.41,0.46,0.003
68,0.1,2.41,0.46,0.003
69,0.1,2.41,0.46,0.003
70,0.1,2.41,0.46,0.003
