,Latitude,Longitude,Stop_Name,Distance_Away
0,40.766736,-73.956779,1 AV/E 70 ST,at stop
1,40.761549,-73.963652,2 AV/E 61 ST,at stop
2,40.733115,-73.981287,1 AV/E 17 ST,at stop
3,40.721801,-73.988937,ALLEN ST/STANTON ST,at stop
4,40.701587,-74.012047,SOUTH ST/WHITEHALL ST,at stop
5,40.775358,-73.953577,2 AV/E 82 ST,approaching
6,40.793692,-73.940196,2 AV/E 110 ST,approaching
7,40.803354,-73.932912,2 AV/E 125 ST,approaching
8,40.731907,-73.985262,2 AV/E 12 ST,approaching
9,40.758309,-73.966019,2 AV/E 54 ST,approaching
10,40.742812,-73.974222,1 AV/E 34 ST,< 1 stop away
11,40.728602,-73.987666,2 AV/E 6 ST,< 1 stop away
12,40.712566,-73.992557,MADISON ST/MARKET ST,< 1 stop away
13,40.753767,-73.966239,1 AV/E 52 ST,< 1 stop away
14,40.786212,-73.945668,2 AV/E 96 ST,< 1 stop away
